,simTag,e-e_avg_e-1,e-i_avg_e-1,i-i_avg_e-1,e-e_std_e-1,e-i_std_e-1,i-i_std_e-1,e-e_avg_e29,e-i_avg_e29,i-i_avg_e29,e-e_std_e29,e-i_std_e29,i-i_std_e29
152,sparse095_10class_151_t3,18.878830145576707,19.72329115789474,18.867110000000004,1.8448158353241055,2.1920020506631124,1.4423653146481301,21.561337334826426,21.400499578947368,21.54255,3.610914569621911,2.9738513353986704,1.9773529150103684
153,sparse050_10class_152_t4,18.855143020408164,18.82724752,18.870773959183673,1.7394249951161902,1.8936030399800927,2.008884495345674,23.048375346938776,25.20420784,20.68752408163265,3.5851925721034426,3.149532569532586,3.3541813785622185
154,sparse080_10class_152_t4,18.892123449367087,18.6856294375,18.530722631578946,1.7228541755930347,1.6891915852456416,1.7554449354308772,21.413398069620253,23.2138765625,24.094752105263154,3.848717064885875,2.9616425731352076,2.4097854789588284
155,sparse095_10class_152_t4,18.769781679731246,19.371572631578946,19.09025,1.7468117732250323,2.0696255831960015,2.0806323304466843,21.705472049272117,21.396924631578944,21.49535,3.5130263663317964,3.348059339674666,3.0524729251051514
156,sparse050_10class_153_t5,18.87448318367347,18.70868004,18.59992057142857,1.7639696576856356,1.6808431922786844,1.6037827844579686,22.259637632653064,25.7757966,25.55444751020408,4.713125783332585,2.2800767652393725,2.346914492964249
157,sparse080_10class_153_t5,18.573803227848103,18.5719551875,18.465875789473685,1.4817224540719403,1.4865702114214416,1.4232097185931738,20.594861297468356,29.105236125,20.122003684210526,2.80805977551963,0.4223461725231855,2.2544976489901725
158,sparse095_10class_153_t5,18.82876960806271,18.69861789473684,18.61741,1.6579019156318402,1.5306769337421613,0.9500335093563805,21.378875699888017,22.024646315789475,22.24335,3.6371422950866927,2.239996241482304,1.0281976699545663
159,sparse050_10class_154_t6,18.756157551020408,18.805412,18.79488457142857,1.6347481272717497,1.7022809714826752,1.7310439446333403,25.22058620408163,27.215272239999997,25.513548897959183,2.8378280619267002,1.7602157914975602,2.9360149818170016
160,sparse080_10class_154_t6,18.931761170886077,18.572596,18.15802052631579,1.754937136001814,1.5817099417549667,1.3356365992328336,23.40221569620253,26.4196689375,25.729873157894733,2.5576489175670907,1.9332384855673836,2.628109807240002
161,sparse095_10class_154_t6,18.91908618141097,18.593261263157896,18.39914,1.863166072906272,1.6769621362748346,1.4064481285849117,21.66571758118701,22.961396421052633,24.564250000000005,3.583761881544659,3.7332556064093967,3.684478564803981
